flightnumber,status,departure_airport_icao,departure_airport_iata,departure_airport_name,arrival_scheduledTimeLocal,arrival_actualTimeLocal,arrival_scheduledTimeUtc,arrival_actualTimeUtc,arrival_terminal,aircraft_model,airline_name,arrival_airport_icao
SQ 2181,Expected,LIMC,MXP,Milan,2022-06-15 10:25:00+02:00,2022-06-15 10:25:00+02:00,2022-06-15 08:25:00+00:00,2022-06-15 08:25:00+00:00,1,Airbus A319,Singapore,EDDF
SQ 2197,Expected,SBGR,GRU,São Paulo,2022-06-15 10:50:00+02:00,2022-06-15 10:50:00+02:00,2022-06-15 08:50:00+00:00,2022-06-15 08:50:00+00:00,1,Boeing 747-8,Singapore,EDDF
SQ 2219,Expected,EDDB,BER,Berlin,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Airbus A321,Singapore,EDDF
SQ 2406,Expected,LDZA,ZAG,Zagreb,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Airbus A319,Singapore,EDDF
TG 7695,Expected,LSGG,GVA,Geneva,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Embraer 190,Thai Airways International,EDDF
TP 6862,Expected,LDZA,ZAG,Zagreb,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Airbus A319,TAP Air Portugal,EDDF
TP 7863,Expected,EDDG,FMO,Münster,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Canadair CRJ 900NG,TAP Air Portugal,EDDF
UA 6899,Expected,LTFM,IST,Istanbul,2022-06-15 10:15:00+02:00,2022-06-15 10:15:00+02:00,2022-06-15 08:15:00+00:00,2022-06-15 08:15:00+00:00,1,Airbus A330-300,United,EDDF
UA 7269,Expected,LDZA,ZAG,Zagreb,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Airbus A319,United,EDDF
UA 8584,Expected,CYYC,YYC,Calgary,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Boeing 777-300ER,United,EDDF
UA 8844,Expected,KLAX,LAX,Los Angeles,2022-06-15 10:50:00+02:00,2022-06-15 10:50:00+02:00,2022-06-15 08:50:00+00:00,2022-06-15 08:50:00+00:00,1,Boeing 747-8,United,EDDF
UA 8875,Expected,LSGG,GVA,Geneva,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Embraer 190,United,EDDF
UA 8877,Expected,LSZH,ZRH,Zurich,2022-06-15 10:35:00+02:00,2022-06-15 10:35:00+02:00,2022-06-15 08:35:00+00:00,2022-06-15 08:35:00+00:00,1,Airbus A319,United,EDDF
UA 8945,Expected,EDDM,MUC,Munich,2022-06-15 10:00:00+02:00,2022-06-15 10:00:00+02:00,2022-06-15 08:00:00+00:00,2022-06-15 08:00:00+00:00,1,Airbus A321,United,EDDF
UA 9063,Expected,LIMC,MXP,Milan,2022-06-15 10:25:00+02:00,2022-06-15 10:25:00+02:00,2022-06-15 08:25:00+00:00,2022-06-15 08:25:00+00:00,1,Airbus A319,United,EDDF
UA 9213,Expected,EDDB,BER,Berlin,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Airbus A321,United,EDDF
UA 9304,Expected,LEBL,BCN,Barcelona,2022-06-15 10:10:00+02:00,2022-06-15 10:10:00+02:00,2022-06-15 08:10:00+00:00,2022-06-15 08:10:00+00:00,1,Airbus A321,United,EDDF
TP 7717,Expected,EDDB,BER,Berlin,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Airbus A321,TAP Air Portugal,EDDF
UA 9356,Expected,LFPG,CDG,Paris,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Airbus A320,United,EDDF
UA 9565,Expected,EDDG,FMO,Münster,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Canadair CRJ 900NG,United,EDDF
4Y 1205,Expected,LGIR,HER,Heraklion,2022-06-15 11:55:00+02:00,2022-06-15 11:55:00+02:00,2022-06-15 09:55:00+00:00,2022-06-15 09:55:00+00:00,1,Airbus A320 (sharklets),Airbus Transport International,EDDF
4Y 211,Expected,DTTJ,DJE,Houmt El Souk,2022-06-15 11:30:00+02:00,2022-06-15 11:30:00+02:00,2022-06-15 09:30:00+00:00,2022-06-15 09:30:00+00:00,1,Airbus A320 (sharklets),Airbus Transport International,EDDF
AC 9100,Expected,CYVR,YVR,Vancouver,2022-06-15 11:00:00+02:00,2022-06-15 11:00:00+02:00,2022-06-15 09:00:00+00:00,2022-06-15 09:00:00+00:00,1,Boeing 747,Air Canada,EDDF
